county_name,2024 Population Density,2024 Total Population,2024-2029 Growth Rate: Owner Occ HUs,2024-2029 Growth Rate: Population,2024 Median Household Income,2024 Population 55+,total_sales,median_price,median_SF
Cannon,56.3,"14,958",1.31%,0.45%,"$63,517","5,256",44,"$368,700","1,676"
Cheatham,140.4,"42,458",1.31%,0.47%,"$85,041","14,237",129,"$448,500","2,060"
Davidson,"1,520.2","765,747",0.69%,1.28%,"$74,490","177,967","2,309","$598,125","2,331"
Dickson,116.2,"56,942",1.58%,0.77%,"$74,386","18,599",285,"$375,000","1,723"
Hickman,41.8,"25,586",1.27%,0.40%,"$57,452","8,752",37,"$329,900","1,432"
Macon,87.1,"26,738",1.81%,1.00%,"$52,855","8,237",139,"$305,000","1,500"
Maury,185.4,"113,670",2.68%,2.04%,"$74,611","35,521",803,"$493,000","2,252"
Robertson,161.9,"77,121",1.81%,1.01%,"$82,320","23,537",602,"$379,450","1,862"
Rutherford,612.5,"379,297",2.55%,1.91%,"$82,113","86,470","3,378","$477,281","2,448"
Smith,65.4,"20,561",1.15%,0.48%,"$59,401","6,895",83,"$359,000","1,632"
Sumner,400.6,"212,093",2.06%,1.33%,"$93,593","63,837",877,"$519,990","2,481"
Trousdale,108.8,"12,445",2.60%,1.39%,"$62,144","3,444",73,"$379,900","1,650"
Williamson,473.4,"275,938",1.80%,1.90%,"$132,580","74,827","1,374","$1,071,948","3,462"
Wilson,290.5,"165,860",2.07%,2.10%,"$93,684","50,721","1,185","$552,800","2,550"
