destination_FIPS,destination_county,people_inflow,agi_inflow,agi_capita_inflow,year
47015,"Cannon County, TN",909,21629000,23794.279427942794,2018
47021,"Cheatham County, TN",2857,82557000,28896.394819740988,2018
47037,"Davidson County, TN",42473,1850992000,43580.43933793233,2018
47043,"Dickson County, TN",3100,84349000,27209.354838709678,2018
47081,"Hickman County, TN",1461,28407000,19443.5318275154,2018
47111,"Macon County, TN",1248,21457000,17193.108974358973,2018
47119,"Maury County, TN",7670,221548000,28885.006518904825,2018
47147,"Robertson County, TN",4724,129372000,27386.113463166806,2018
47149,"Rutherford County, TN",22369,535217000,23926.72895525057,2018
47159,"Smith County, TN",1154,25101000,21751.299826689774,2018
47165,"Sumner County, TN",13181,396465000,30078.522115165768,2018
47169,"Trousdale County, TN",651,13203000,20281.10599078341,2018
47187,"Williamson County, TN",19780,1159148000,58602.02224469161,2018
47189,"Wilson County, TN",11072,360420000,32552.384393063585,2018
47015,"Cannon County, TN",937,26057000,27808.964781216648,2022
47021,"Cheatham County, TN",2986,121657000,40742.46483590087,2022
47037,"Davidson County, TN",43240,2940052000,67993.80203515264,2022
47043,"Dickson County, TN",3322,110322000,33209.512341962676,2022
47081,"Hickman County, TN",1623,46189000,28459.02649414664,2022
47111,"Macon County, TN",1593,35784000,22463.27683615819,2022
47119,"Maury County, TN",9160,393988000,43011.7903930131,2022
47147,"Robertson County, TN",5278,185057000,35061.955286093216,2022
47149,"Rutherford County, TN",23827,804820000,33777.647206950096,2022
47159,"Smith County, TN",1150,34229000,29764.347826086956,2022
47165,"Sumner County, TN",14287,665833000,46604.11562959334,2022
47169,"Trousdale County, TN",920,24839000,26998.91304347826,2022
47187,"Williamson County, TN",20211,1988166000,98370.49131660977,2022
47189,"Wilson County, TN",13626,697706000,51204.02172317628,2022
47015,"Cannon County, TN",863,18671000,21634.99420625724,2019
47021,"Cheatham County, TN",2565,77876000,30361.01364522417,2019
47037,"Davidson County, TN",40176,1955813000,48681.12803663879,2019
47043,"Dickson County, TN",3041,75337000,24773.758632028937,2019
47081,"Hickman County, TN",1447,29193000,20174.84450587422,2019
47111,"Macon County, TN",1270,23930000,18842.51968503937,2019
47119,"Maury County, TN",7420,251919000,33951.34770889488,2019
47147,"Robertson County, TN",4422,122324000,27662.596110357303,2019
47149,"Rutherford County, TN",21632,560639000,25917.11353550296,2019
47159,"Smith County, TN",1166,25758000,22090.909090909092,2019
47165,"Sumner County, TN",13464,433986000,32233.06595365419,2019
47169,"Trousdale County, TN",729,16135000,22133.058984910836,2019
47187,"Williamson County, TN",19198,1103780000,57494.5306802792,2019
47189,"Wilson County, TN",10966,387535000,35339.68630311873,2019
47015,"Cannon County, TN",923,22389000,24256.771397616467,2020
47021,"Cheatham County, TN",3155,99663000,31588.906497622822,2020
47037,"Davidson County, TN",41446,2141757000,51675.8432659364,2020
47043,"Dickson County, TN",3254,96715000,29721.880762138906,2020
47081,"Hickman County, TN",1520,33201000,21842.763157894737,2020
47111,"Macon County, TN",1545,27883000,18047.24919093851,2020
47119,"Maury County, TN",9194,290228000,31567.108984120077,2020
47147,"Robertson County, TN",5096,135563000,26601.84458398744,2020
47149,"Rutherford County, TN",24721,653838000,26448.687350835324,2020
47159,"Smith County, TN",1387,29711000,21421.052631578947,2020
47165,"Sumner County, TN",14461,509963000,35264.71198395685,2020
47169,"Trousdale County, TN",816,17272000,21166.666666666668,2020
47187,"Williamson County, TN",22373,1487689000,66494.83752737675,2020
47189,"Wilson County, TN",12398,445223000,35910.87272140668,2020
47015,"Cannon County, TN",1000,25744000,25744.0,2021
47021,"Cheatham County, TN",3133,101332000,32343.440791573572,2021
47037,"Davidson County, TN",41973,2316856000,55198.7229885879,2021
47043,"Dickson County, TN",3433,112268000,32702.592484707253,2021
47081,"Hickman County, TN",1582,39736000,25117.572692793932,2021
47111,"Macon County, TN",1463,31971000,21853.04169514696,2021
47119,"Maury County, TN",9302,326790000,35131.15459041067,2021
47147,"Robertson County, TN",5203,166570000,32014.222563905438,2021
47149,"Rutherford County, TN",25007,733097000,29315.671611948655,2021
47159,"Smith County, TN",1312,32020000,24405.48780487805,2021
47165,"Sumner County, TN",14621,563567000,38545.03795909992,2021
47169,"Trousdale County, TN",1004,21216000,21131.474103585657,2021
47187,"Williamson County, TN",21603,1911202000,88469.28667314725,2021
47189,"Wilson County, TN",13414,540801000,40316.16221857761,2021
