origin_FIPS,origin_county,people_outflow,agi_outflow,agi_capita_outflow,year
47015,"Cannon County, TN",762,16952000,22246.719160104985,2022
47021,"Cheatham County, TN",2479,81893000,33034.69140782574,2022
47037,"Davidson County, TN",49500,2681908000,54179.9595959596,2022
47043,"Dickson County, TN",2591,77175000,29785.796989579314,2022
47081,"Hickman County, TN",1211,29961000,24740.71015689513,2022
47111,"Macon County, TN",999,19903000,19922.922922922924,2022
47119,"Maury County, TN",6476,225108000,34760.34589252625,2022
47147,"Robertson County, TN",4042,172833000,42759.27758535378,2022
47149,"Rutherford County, TN",19742,651226000,32986.83010839834,2022
47159,"Smith County, TN",996,32966000,33098.39357429719,2022
47165,"Sumner County, TN",11171,422170000,37791.603258437026,2022
47169,"Trousdale County, TN",780,17235000,22096.153846153848,2022
47187,"Williamson County, TN",16601,1235669000,74433.40762604662,2022
47189,"Wilson County, TN",8873,349104000,39344.528344415645,2022
47015,"Cannon County, TN",682,14114000,20695.0146627566,2019
47021,"Cheatham County, TN",2376,65318000,27490.74074074074,2019
47037,"Davidson County, TN",47259,1740008000,36818.553079836645,2019
47043,"Dickson County, TN",2686,61864000,23032.017870439315,2019
47081,"Hickman County, TN",1199,22713000,18943.286071726438,2019
47111,"Macon County, TN",1071,16198000,15124.183006535948,2019
47119,"Maury County, TN",5685,156354000,27502.902374670186,2019
47147,"Robertson County, TN",3987,103818000,26039.127163280664,2019
47149,"Rutherford County, TN",18055,501899000,27798.338410412627,2019
47159,"Smith County, TN",906,17231000,19018.763796909494,2019
47165,"Sumner County, TN",9919,281079000,28337.433208992843,2019
47169,"Trousdale County, TN",548,10421000,19016.423357664233,2019
47187,"Williamson County, TN",13888,735471000,52957.30126728111,2019
47189,"Wilson County, TN",8115,274681000,33848.55206407887,2019
47015,"Cannon County, TN",721,15389000,21343.966712898753,2021
47021,"Cheatham County, TN",2782,87207000,31346.87275341481,2021
47037,"Davidson County, TN",52242,2211416000,42330.23238007733,2021
47043,"Dickson County, TN",2688,72829000,27094.122023809523,2021
47081,"Hickman County, TN",1207,26170000,21681.85584092792,2021
47111,"Macon County, TN",1221,23587000,19317.772317772316,2021
47119,"Maury County, TN",6316,184209000,29165.45281823939,2021
47147,"Robertson County, TN",3947,111017000,28126.931846972384,2021
47149,"Rutherford County, TN",19812,564354000,28485.463355542095,2021
47159,"Smith County, TN",937,21174000,22597.652081109925,2021
47165,"Sumner County, TN",11355,355582000,31315.015411712902,2021
47169,"Trousdale County, TN",559,12156000,21745.97495527728,2021
47187,"Williamson County, TN",16113,895089000,55550.73543101843,2021
47189,"Wilson County, TN",8563,288884000,33736.30736891276,2021
47015,"Cannon County, TN",848,18468000,21778.30188679245,2020
47021,"Cheatham County, TN",2667,72256000,27092.613423322084,2020
47037,"Davidson County, TN",54047,2121204000,39247.395785149965,2020
47043,"Dickson County, TN",2528,60669000,23998.813291139242,2020
47081,"Hickman County, TN",1303,24824000,19051.419800460477,2020
47111,"Macon County, TN",1180,18583000,15748.305084745763,2020
47119,"Maury County, TN",6338,171461000,27052.85579047018,2020
47147,"Robertson County, TN",4369,111962000,25626.45914396887,2020
47149,"Rutherford County, TN",19795,539318000,27245.162919929277,2020
47159,"Smith County, TN",1074,23592000,21966.480446927373,2020
47165,"Sumner County, TN",11210,450588000,40195.182872435325,2020
47169,"Trousdale County, TN",642,11545000,17982.866043613707,2020
47187,"Williamson County, TN",15564,890531000,57217.36057568748,2020
47189,"Wilson County, TN",8966,309512000,34520.63350434977,2020
47015,"Cannon County, TN",764,15686000,20531.413612565444,2018
47021,"Cheatham County, TN",2561,69308000,27062.86606794221,2018
47037,"Davidson County, TN",51044,1767466000,34626.322388527544,2018
47043,"Dickson County, TN",2444,53133000,21740.180032733224,2018
47081,"Hickman County, TN",1158,22046000,19037.996545768565,2018
47111,"Macon County, TN",1016,15378000,15135.826771653543,2018
47119,"Maury County, TN",5851,149879000,25615.963083233637,2018
47147,"Robertson County, TN",4262,104973000,24629.9859221023,2018
47149,"Rutherford County, TN",18071,500433000,27692.60140556693,2018
47159,"Smith County, TN",974,19315000,19830.5954825462,2018
47165,"Sumner County, TN",10242,299666000,29258.543253270847,2018
47169,"Trousdale County, TN",608,10821000,17797.697368421053,2018
47187,"Williamson County, TN",14101,788870000,55944.25927239203,2018
47189,"Wilson County, TN",8054,252522000,31353.613111497394,2018
